city,自然风光,历史文化,主题乐园,城市观光,美食文化,海滨休闲,休闲康养,户外运动,宗教信仰,节庆民俗,province,pinyin,abbr,latitude,longitude
合肥市,巢湖（中国五大淡水湖之一，湖光山色，四季景色各异，尤以夕阳和荷花闻名）/大蜀山（合肥市区内唯一的山体，森林覆盖率高，是市民登山休闲的热门地点）,包公园（为纪念北宋名臣包拯而建，园内有包公祠、包公墓等历史遗迹）/李鸿章故居（晚清名臣李鸿章的家族住宅，展示了江淮地区传统建筑风格和李鸿章生平事迹）,合肥野生动物园（依山而建的大型动物园，拥有大熊猫、金丝猴等珍稀动物，适合亲子游）/合肥融创乐园（大型主题游乐园，拥有多项刺激游乐设施和精彩表演）,淮河路步行街（合肥最繁华的商业步行街，集购物、餐饮、娱乐于一体，保留部分历史建筑）/天鹅湖（现代化城市景观湖，周边高楼林立，夜晚灯光秀璀璨夺目）,罍街（合肥著名美食文化街区，汇聚安徽各地特色小吃和传统美食）,,半汤温泉（历史悠久的地热温泉，水质优良，具有医疗保健价值）,紫蓬山（国家级森林公园，登山步道完善，适合徒步和山地自行车运动）,明教寺（合肥最古老的佛教寺庙，始建于南朝，香火旺盛）,三河古镇（千年水乡古镇，保留传统建筑风貌，每年举办龙舟赛等民俗活动）,安徽省,hefeishi,hfs,31.820591,117.227219
黄山市,黄山（世界文化与自然双重遗产）/齐云山（中国四大道教名山）/新安江山水画廊/太平湖/翡翠谷/牯牛降（国家级自然保护区）/木坑竹海（《卧虎藏龙》取景地）/打鼓岭,宏村（世界文化遗产）/西递（世界文化遗产）/徽州古城（中国四大古城之一）/呈坎（"江南第一村"）/唐模/南屏/徽州文化园/花山谜窟,,屯溪老街（中国历史文化名街）/黎阳in巷,徽菜博物馆,,醉温泉,,齐云山（中国四大道教名山）,,安徽省,huangshanshi,hss,29.715185,118.338272
芜湖市,镜湖（芜湖市中心的人工湖，湖光山色与城市景观相融合，四季景色各异，是市民休闲的好去处。）/赭山公园（城市中的天然氧吧，山上有赭山塔，登塔可俯瞰芜湖全景，公园内植被茂密，环境幽静。）/马仁奇峰（以奇峰、奇壁、奇柱、奇洞著称，拥有玻璃栈道和悬崖秋千等刺激项目，是户外探险的好地方。）/天门山（因李白《望天门山》诗而闻名，山势险峻，长江在此转弯，景色壮丽。）/丫山花海石林（以石林和花海著称，春季牡丹盛开时尤为美丽，是摄影爱好者的天堂。）,鸠兹古镇（重建的徽派风格古镇，展示了芜湖的历史文化，有传统建筑和民俗表演。）/芜湖市博物馆（展示了芜湖的历史文化和自然遗产，馆藏丰富，是了解芜湖的好地方。）/芜湖古城（保存了部分历史建筑和街巷，展现了芜湖的传统风貌和文化底蕴。）,芜湖方特欢乐世界（大型主题乐园，包含多个主题区，适合家庭游玩，有丰富的娱乐设施和表演。）/芜湖方特梦幻王国（以动漫和童话为主题的乐园，适合亲子游，有各种梦幻场景和互动体验。）/芜湖方特水上乐园（夏季热门水上乐园，有多种水上滑道和造浪池，适合消暑娱乐。）/芜湖方特东方神画（以中国传统文化为主题的乐园，结合现代科技展示神话传说和历史故事。）/芜湖市科技馆（互动性强的科技展览馆，适合亲子参观，寓教于乐。）,中山路步行街（芜湖最繁华的商业街，集购物、餐饮、娱乐于一体，夜晚灯光璀璨。）/芜湖长江大桥（连接长江两岸的重要桥梁，桥身雄伟，是芜湖的地标性建筑之一。）/芜湖滨江公园（沿长江而建的公园，有观景平台和步道，可欣赏江景和日落。）/芜湖市雕塑公园（以雕塑艺术为主题的公园，展示了众多国内外艺术家的作品，环境优美。）/芜湖市雨耕山文化产业园（由老建筑改造的文化创意区，有酒吧、餐厅和艺术展览，充满文艺气息。）,芜湖市凤凰美食街（汇集了芜湖及安徽各地的特色美食，是品尝当地小吃的好去处。）,,,,广济寺（历史悠久的佛教寺庙，寺内有古塔和佛像，是当地重要的宗教场所。）,,安徽省,wuhushi,whs,31.352859,118.432941
滁州市,琅琊山（以山水秀美著称，有醉翁亭、琅琊寺等名胜，欧阳修《醉翁亭记》诞生地）/狼巷迷谷（喀斯特地貌形成的天然迷谷，奇石林立，巷道纵横如迷宫）/皇甫山国家森林公园（原始次生林覆盖率达96%，有江淮地区保存最完好的北亚热带森林）/神山国家森林公园（火山地貌景观，有千年古刹神山寺及天然溶洞群）/白鹭岛国际生态旅游区（森林湿地景观，每年数万只白鹭栖息，设有温泉度假设施）/韭山洞（喀斯特溶洞，全长1472米，内有钟乳石、地下河等奇特景观）/天长市红草湖湿地公园（城市湿地生态系统，以秋季红草景观闻名，设有休闲步道）/女山湖（火山口形成的淡水湖，湖中女山为地质奇观，盛产鱼蟹）,醉翁亭（中国四大名亭之一，因欧阳修《醉翁亭记》闻名，宋代建筑风格）/明中都城遗址（明代早期都城遗址，现存午门、西华门等遗迹，展现明代建筑规制）/小岗村（中国农村改革发源地，保留大包干纪念馆及当年农家院落）/吴敬梓纪念馆（为纪念《儒林外史》作者吴敬梓而建，展示其生平与文学成就）,滁州长城梦世界影视城（影视拍摄基地，复制了明清宫苑、埃及神庙等中外建筑）,,,白鹭岛国际生态旅游区（森林湿地景观，每年数万只白鹭栖息，设有温泉度假设施）,,龙兴寺（明代皇家寺院，朱元璋曾在此出家，现存明代碑刻与古建筑）,,,安徽省,chuzhoushi,czs,32.255636,118.327944
亳州市,林拥城景区（万亩生态园林，包含药都花海、森林木屋等特色景观）,曹操地下运兵道（中国现存最古老、保存最完整的地下军事设施，被誉为"地下长城"）/花戏楼（国家级文保单位，以精美砖雕、木雕和彩绘闻名，清代戏楼建筑典范）/华祖庵（纪念东汉名医华佗的祠庙，内有古药园和中医药文化展示）/南京巷钱庄（中国现存最完整的古代钱庄建筑群，清代金融业活化石）/亳州博物馆（国家一级博物馆，集中展示亳州3000年历史与中医药文化）/汤王陵（商朝开国君主成汤的陵墓，现存明清时期祭祀建筑群）,,曹操公园（以曹操文化为主题的综合性公园，内有曹操雕塑群和三国文化区）/涡河景观带（贯穿城区的滨水休闲长廊，展现亳州"水城"风貌）,亳州中药材交易中心（全球规模最大的中药材专业市场，可体验亳州"药都"特色药膳）/亳州老街（保存明清建筑风格的美食街区，集中亳州牛肉馍、锅盔等特色小吃）,,,道德中宫（为纪念老子而建的道教宫观，传为老子讲学之地）,,,安徽省,bozhoushi,bzs,33.844592,115.77867
安庆市,天柱山（世界地质公园）/巨石山（心形玻璃观景台）/明堂山（奇松怪石）/大别山彩虹瀑布（彩虹奇观）/小孤山（长江绝岛）/大龙山（火山地貌）/天峡风景区（华东第一大峡谷）,振风塔（万里长江第一塔）/五千年文博园（华夏文明展示）/桐城文庙（明清建筑群）/赵朴初故居（佛教领袖纪念馆）/孔雀东南飞文化园（汉乐府诗主题）/孔城老街（明清古街）/严凤英故居（黄梅戏艺术家）/安庆古城（明清古建筑）,,菱湖公园（菱荷景观）,,,天悦湾温泉（养生泡池）,,迎江寺（长江古寺）/司空山（禅宗道场）,黄梅戏会馆（非遗展示）,安徽省,anqingshi,aqs,30.531919,117.115101
池州市,牯牛降（国家级自然保护区）/平天湖（国家级湿地公园）/大王洞（华东最大溶洞群之一）/九华天池（"江南小九寨"）/仙寓山（云海日出）/蓬莱仙洞（喀斯特溶洞）/九华山花台景区（高山杜鹃花海）,杏花村（杜牧《清明》诗）,,齐山-平天湖风景区（城市山水公园）,,,石台县富硒村（中国三大富硒地之一）,秋浦河（漂流探险）,九华山（中国佛教四大名山）/九华山大愿文化园（地藏菩萨主题）,,安徽省,chizhoushi,czs,30.664779,117.491592
宣城市,敬亭山（江南诗山，以‘相看两不厌’闻名，森林覆盖率高，自然景观与人文历史交融）/桃花潭（因李白‘桃花潭水深千尺’得名，潭水清澈，两岸古村与青山相映）/太极洞（‘东南第一洞’，喀斯特溶洞奇观，洞内钟乳石形态似太极图）/中国鳄鱼湖（全球最大的扬子鳄自然保护区，可近距离观察野生鳄鱼群）,龙川景区（国家5A级景区，千年古村落，胡氏宗祠为‘江南第一祠’，徽派建筑典范）/查济古村（现存规模最大的明清古村落，保存完整的徽派建筑群，有‘中华写生第一村’之称）/江村（国家4A级景区，徽文化古村落，村内文昌塔、聚秀湖等保存完好）/水东古镇（千年古镇，以‘水东蜜枣’闻名，天主教堂与青石板路展现中西文化交融）/旌德文庙（皖南现存最完整的文庙建筑群，大成殿为清代木构精品）/绩溪徽州文化园（集中展示徽州三雕、徽剧等非遗文化，体验传统手工艺制作）,,,,,恩龙世界木屋村（森林度假胜地，拥有特色木屋别墅和民俗表演，适合养生休闲）/旌德路西茶园（千亩空中茶园，可体验采茶制茶，俯瞰梯田云雾景观）,徽杭古道（华东经典徒步线路，连接皖浙，沿途有蓝天凹、江南第一关等自然险峻景观）,,,安徽省,xuanchengshi,xcs,30.940195,118.75868
马鞍山市,采石矶（长江三大名矶之一，以险峻山势和江景闻名，李白曾在此留下诗篇）/濮塘自然风景区（森林覆盖率超过70%，有竹海、古树、湖泊等自然景观）/太湖山国家森林公园（森林茂密，有千年古寺和丰富的动植物资源）,李白墓园（唐代诗人李白长眠之地，园内有李白纪念馆和历代文人题咏碑刻）/朱然家族墓地博物馆（三国东吴大将朱然及其家族墓地，出土大量珍贵文物）/马鞍山市博物馆（展示马鞍山历史文化和钢铁工业发展历程）/凌家滩遗址（距今约5500年的新石器时代遗址，出土大量玉器和陶器）/和县猿人遗址（发现距今约30万年的古人类化石，是长江中下游重要古人类遗址）/霸王祠（纪念西楚霸王项羽的祠庙，有项羽塑像和历代碑刻）,大青山野生动物世界（集野生动物观赏、游乐设施、表演于一体的综合性乐园）,雨山湖公园（城市中心的大型湖泊公园，四季景色各异，休闲娱乐好去处）,,,香泉温泉度假村（千年历史温泉，水质优良，设有多种温泉泡池和度假设施）,鸡笼山国家森林公园（主峰海拔240米，适合登山徒步，山顶可俯瞰长江和周边风光）/褒禅山（因王安石《游褒禅山记》闻名，有溶洞、溪流等自然景观）,,,安徽省,maanshanshi,mass,31.67044,118.507011
阜阳市,八里河风景区（5A）/颍州西湖/阜阳生态园/迪沟生态旅游风景区,阜阳市博物馆/程文炳宅院/管仲老街,阜阳野生动物园,阜阳文峰公园/阜阳清河宋街,阜阳格拉条/阜阳枕头馍,,阜阳生态乐园温泉,颍上县五里湖湿地公园,竹音寺,阜阳庙会,安徽省,fuyangshi,fys,32.890479,115.814504
